Course,Attribute(s),Comment
SUST 3093 Topics in Sustainability (Gender and Sustainable Development),"EFCJ, EFCE, EFCG",
SUST 3097 Sustainability Research Methods,ESRM,
"UW 2020W Advanced Topics in Writing (Women, Gender, and Sexuality Studies)",EFCJ,
"WGSS 2120 Introduction to Women’s, Gender, and Sexuality Studies","EFCC, EFCJ",
WGSS 2125 Varieties of Feminist Theory,EFCJ,
WGSS 2225 Philosophy of Race and Gender (Same as PHIL 2125 and PHIL 2125W: Philosophy of Race and Gender),EFCJ,
"WGSS 3136W Chinese Women in Myth, Literature, and Film",EASB,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Costs of Reproduction. Same as HIST 3001: Costs of Reproduction)",EFCJ,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Global Migrations) Same as: SPAN 4420: Global Migrations in the Spanish-Speaking World","EFCC, ELAB",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (LGBTQ & Cross-Culturalism Studies)","EFCC, ELAB, EFCJ",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Queer Latin America)","EFCC, EFCJ",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Women in Judaism) ADD Same as JSTD 2002 and REL 2990 Women in Judaism",EFCJ,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Women Writers of Spain and Lat)","EEEB, EFCJ, ELAB",
WGSS 3170W or JSTD 2002W or HIST 3001W Gender and Sexuality in Israel,EMEB,
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Gender & the Arab World (in English) )","EFCC, EFCJ",
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Gender and Sexuality in Israel). Same as HEBR 3104W, HIST 3001W, JSTDWTRUE 2002 (Gender and Sexuality in Israel).",EFCJ,
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Postcolonialism, Race, and Gender in Global Anglophone Literature and Film)",EFCC,
WGSS 3481 Women in Islam,"EMEB, EFCJ",
"WGSS 3881 Women, Gender, and Religion in China","EFCJ, EASB",
"WGSS 2120 Introduction to Women’s, Gender, and Sexuality Studies","EFCC, EFCJ",
WGSS 2125 Varieties of Feminist Theory,EFCJ,
WGSS 2225 Philosophy of Race and Gender (Same as PHIL 2125 and PHIL 2125W: Philosophy of Race and Gender),EFCJ,
"WGSS 3136W Chinese Women in Myth, Literature, and Film",EASB,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Costs of Reproduction. Same as HIST 3001: Costs of Reproduction)",EFCJ,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Global Migrations) Same as: SPAN 4420: Global Migrations in the Spanish-Speaking World","EFCC, ELAB",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (LGBTQ & Cross-Culturalism Studies)","EFCC, ELAB, EFCJ",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Queer Latin America)","EFCC, EFCJ",
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Women in Judaism) ADD Same as JSTD 2002 and REL 2990 Women in Judaism",EFCJ,
"WGSS 3170 Topics in Women's, Gender, and Sexuality Studies (Women Writers of Spain and Lat)","EEEB, EFCJ, ELAB",
WGSS 3170W or JSTD 2002W or HIST 3001W Gender and Sexuality in Israel,EMEB,
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Gender & the Arab World (in English) )","EFCC, EFCJ",
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Gender and Sexuality in Israel). Same as HEBR 3104W, HIST 3001W, JSTDWTRUE 2002 (Gender and Sexuality in Israel).",EFCJ,
"WGSS 3170W Topics in Women's, Gender, and Sexuality Studies (Postcolonialism, Race, and Gender in Global Anglophone Literature and Film)",EFCC,
WGSS 3481 Women in Islam,"EMEB, EFCJ",
"EFCC, EASA, EASB, ESAG","EFCJ, EASB",
